"inv_num","add_credit","url","title","year","display_year","medium","dims","pitch","ps","live_url","youtube","related_code","subheading","download","commission","related"
"2022-056","Stine Janvin & Cory Arcangel","2022-056","Identity Pitches","2023","2022-ongoing","Just tuned composition for voice, auto-tune, MIDI guitar, string ensemble, electronics & back-drop.  ","Variable","Live performance of scores in the Identity Pitches book.",,,,,,,,
"2022-044",,"2022-044","3- (12) (aluplate)","2022",2022,"Raw aluplate aluminium","200 x 100 x 0.03 cm","alu / track suits / majerus ;-)",,,,"https://github.com/coryarcangel/alu",,,,
"2022-045",,"2022-045","3- (14) (aluplate)","2022",2022,"Raw aluplate aluminium","200 x 100 x 0.03 cm","alu / track suits / majerus ;-)",,,,"https://github.com/coryarcangel/alu",,,,
"2022-031",,"2022-031","Flying Føx","2022","2019-2022","Adjusted to fit JPEG/Exif (wallpaper, social media, etc, etc ✌️).",,"""Lifesize"" mega-yacht",,,,,,,,
"2022-034",,"2022-034","3- (3) (aluplate)","2022",2022,"Raw aluplate aluminium","200 x 100 cm","alu / track suits / majerus ;-)",,,,"https://github.com/coryarcangel/alu",,,,
"2022-039",,"2022-039","3- (8) (aluplate)","2022",2022,"Raw aluplate aluminium","200 x 100 cm","alu / track suits / majerus ;-)",,,,"https://github.com/coryarcangel/alu",,,,
"2022-040",,"2022-040","- (9) (aluplate)","2022",2022,"Raw aluplate aluminium","200 x 100 cm","alu / track suits / majerus ;-)",,,,"https://github.com/coryarcangel/alu",,,,
"2022-041",,"2022-041","3- (10) (aluplate)","2022",2022,"Raw aluplate aluminium","200 x 100 cm","alu / track suits / majerus ;-)",,,,"https://github.com/coryarcangel/alu",,,,
"2022-042",,"2022-042","3- (11) (aluplate)","2022",2022,"Raw aluplate aluminium","200 x 100 cm","alu / track suits / majerus ;-)",,,,"https://github.com/coryarcangel/alu",,,,
"2022-043",,"2022-043","(PE)","2022",2022,"Poly(methylene) ""grab-and-go snacking bag"", thermal laminating pouch",,"“grab-and-go snacking” sandwich wrappings lemted in a thermal roll 
lamination machine.",,,,,,,,
"2022-046",,"2022-046","3- (Laserjet)","2022",2022,"TBD LaserJet on TBD Transparency paper. ","30 x 21 cm",,,,,,,,,
"2022-047",,"2022-047","(PE)","2022",2022,"Poly(methylene) ""grab-and-go snacking bag"", thermal laminating pouch","30 x 20 cm","“grab-and-go snacking” sandwich wrappings lemted in a thermal roll 
lamination machine.",,,,,,,,
"2022-048",,"2022-048","(PE)","2022",2022,"Poly(methylene) ""grab-and-go snacking bag"", thermal laminating pouch","30 x 20 cm","“grab-and-go snacking” sandwich wrappings lemted in a thermal roll 
lamination machine.",,,,,,,,
"2022-049",,"2022-049","(PE)","2022",2022,"Poly(methylene) ""grab-and-go snacking bag"", thermal laminating pouch","30 x 20 cm","“grab-and-go snacking” sandwich wrappings lemted in a thermal roll 
lamination machine.",,,,,,,,
"2022-050",,"2022-050","(PE)","2022",2022,"Poly(methylene) ""grab-and-go snacking bag"", thermal laminating pouch","30 x 20 cm","“grab-and-go snacking” sandwich wrappings lemted in a thermal roll 
lamination machine.",,,,,,,,
"2020-021",,"2020-021","Identity Pitches","2022",2022,"Paperback. ","24 x 15 cm","In Identity Pitches, Cory Arcangel and Stine Janvin have composed a conceptual music scores based on the knitting patterns for traditional Norwegian sweaters known as Lusekofte. Janvin creates scores for both solo and ensemble performers by mapping three classic Lusekofte designs onto the harmonic and subharmonic series. These scores, which integrate the tuning principles of Norwegian folk instruments, are further manipulated by Arcangel using a “deep-fried” coding script to create an alternative series of compressed, detuned glitches and images. ",,"https://primaryinformation.org/product/identity-pitches/",,,,,,
"2022-016",,"2022-016","Instagram Headers","2022",2022,"Instagram Headers","Variable. ","Open Are.na channel for common (and uncommon) Instagram headers. ",,"https://www.are.na/cory-arcangel/instagram-headers",,,,,,
"2022-015",,"2022-015","Hail Mary (SRF-061)","2022",2022,"American microblogging and social networking service (Twitter), artist software, carillon(s), and carillonneur(s). ","Variable. ","Twitter bot which generates a score for carillon once a day. ","Free for all 2 play! ","https://twitter.com/hail_mary_bells",,,,,"Hail Mary is a co-commission of FRONT International: Cleveland Triennial for Contemporary Art and MUNCH Triennale.",
"2022-055",,"2022-055","burned out (on Majerus)","2022",2022,"Lecture w/ Are.na moodbard accompanient.","Variable",,,"https://www.are.na/cory-arcangel/burned-out-on-majerus",,,,,,
"2022-001",,"2022-001","new comer (on Majerus)","2022",2022,"TXT",,"Michel Majerus Estate in Berlin will commemorate  Majerus’s early death 20 years ago with the exhibition series Michel Majerus 2022, taking place in institutions all over Germany. Coinciding with the exhibition, a monographic catalogue in English and German will be produced. This publication will document the entire exhibition series and will include academic essays and an interview.",,,,,,,,
"2022-004",,"2022-004","3- 115_443/116_1 (blk) ","2022",2022,"UV ink on IKEA LINNMON  table tops","200 x 120 x 4 cm",,,,,,,,,
"2022-006",,"2022-006","8- 115_6/115_03 (blk) ","2022",2022,"UV ink on IKEA LINNMON  table tops","200 x 120 x 4 cm",,,,,,,,,
"2022-009",,"2022-009","3- 74_333/114_437 (blk) ","2022",2022,"UV ink on IKEA LINNMON  table tops","200 x 120 x 4 cm",,,,,,,,,
"2022-010",,"2022-010","2- 114_439/74_78 (blk) ","2022",2022,"UV ink on IKEA LINNMON  table tops","200 x 120 x 4 cm",,,,,,,,,
"2021-041",,"2021-041","Chord Memory ~ New York","2021",2021,"TXT scores","Variable","Scores from Chord Memory² genreated for Issue Project Room: Remind Me Tomorrow",,,,"https://github.com/coryarcangel/chord-memory",,"Chord-Memory-Exports-1-3.pdf",,
"2021-001",,"2021-001","Cheesy Nacho Recipes to Devour on Super Bowl Sunday (SRF-060)","2021",2021,"Public Web ARChive .WARC file stored on Confier.","Variable","6 ""Cheesy Nacho Recipes"" from Today.com archived — for posterity — using Confier, and presented as a publication for NYABF 2021",,"https://conifer.rhizome.org/cory_arcangel/cheesy-nacho-recipes-to-devour-on-super-bowl-sunday",,,,,,
"2021-002",,"2021-002","QPY","2021",2021,"Score for DYI home printer on Post-it, or freehand rendering. ","Variable",,,,,,,,,
"2021-040",,"2021-040","/roʊˈdeɪoʊ/ Let's Play: HOLLYWOOD 2021-12-14T19:26:00+01:00 10918","2021",2021,"Single-channel screen capture video of /roʊˈdeɪoʊ/ Let's Play: HOLLYWOOD recorded on December 14, 2021. System sounds by Daniel Lopatin (Oneohtrix Point Never).","3:01:58","Screen recording of /roʊˈdeɪoʊ/ Let's Play: HOLLYWOOD in action. ","All details at micosite! ","https://rodeo.computer/",,,,,,
"2021-004",,"2021-004","/roʊˈdeɪoʊ/ Let's Play: HOLLYWOOD 2021-02-28T19:44:00+01:00 13388","2021",2021,"Single-channel video of /roʊˈdeɪoʊ/ Let's Play: HOLLYWOOD recorded on February 28, 2021.","Variable","Screen recording of /roʊˈdeɪoʊ/ Let's Play: HOLLYWOOD in action. ","All details at micosite! ","https://rodeo.computer/",,,,,,
"2021-007",,"2021-007","/roʊˈdeɪoʊ/ Let's Play: HOLLYWOOD Twitter","2021",2021,"Twitter account","Variable","Status account for /roʊˈdeɪoʊ/ a Deep Q RPG playing ""super"" computer. By 
@cory_arcangel",,"https://twitter.com/RodeoComputer",,,,,,
"2017-006",,"2017-006-rodeo-performance","/roʊˈdeɪoʊ/ Let's Play: HOLLYWOOD","2021","2017-2021","Custom built high performance computer rig (AMD Ryzen 9 5950X 16-core 32-Thread Unlocked Desktop Processor central processing unit, Rog Crosshair Viii Dark Hero motherboard, G.SKILL 64GB (2 x 32GB) Trident Z Neo Series DDR4 PC4-21300 2666 MHz 288-Pin Desktop Memory Model F4-2666C18D-64GTZN random access memory, (x2) EVGA 24G-P5-3975-KR GeForce RTX 3090 XC3 Ultra Gaming graphics processing units' & Corsair Professional Series AX 1200 Watt Digital ATX/EPS Modular 80 PLUS Platinum (AX1200i) power supply, various peripherals), custom built Deep-Q Learning RPG playing software bot with system sounds by Daniel Lopatin (Oneohtrix Point Never), Kim Kardashian: Hollywood casual free-to-play role-playing Android game, Android phone, amplifier & speakers, various cables. ","Variable","A custom built & programmed high performance machine learning computer which plays (& learns as it is plays) Kim Kardashian: Hollywood — a casual free-to-play role-playing Android game where players aim to increase their reputation by gaining fans in order to become A-List celebrities. ","All details at micosite! ","https://rodeo.computer/",,"https://github.com/coryarcangel/rodeo-lets-play",,,,
"2020-042",,"2020-042-blk","3- (blk)",2020,2020,"IQDemy Premium UV ink on IKEA LINNMON table tops",,,,,,,,,,
"2020-041",,"2020-041-illa","3- (lilla)",2020,2020,"IQDemy Premium UV ink on IKEA MELLTORP table tops",,,,,,,,,,
"2020-039",,"2020-039-worout","WOR OUT",2020,2020,"IQDemy Premium UV ink on IKEA MELLTORP  table tops",,,,,,,,,,
"2020-035",,"2020-035-nyartist","NYARTIST",2020,2020,"Cassette tape.",,"Benefit limited edition cassette tape done for Issue Project Room.","NYARTIST is documentation of a project by Cory Arcangel which was exhibited and commissioned by Sharjah Art Foundation, for the Sharjah Biennial 14, 2019 curated by Omar Kholeif. For the project Arcangel composed an algorithmic score for pipe organ - located at nyartist.coryarcangel.com - and an iteration of this score was recorded by organist Hampus Lindwall. This resulting track was then dropped into the mix at the Radisson Blu Resort Sharjah gym for the duration of the Sharjah Biennial 14.","https://issueprojectroom.org/",,,,,,"[4476] [2018-134] 2018-134 NYARTIST"
"2020-031",,"2020-031-the-light-of-a-new-dawn","The Light of a New Dawn",2020,2020,"New York Times ""Fireplace"" spread & related Louis Vuitton window installation(s). ",,"Did an ad &amp; window campaign 4 LV.&nbsp;",,,,,,,,
"2020-029",,"2020-029","Related to your interests",2021,"2020-2021","Bot generated single-channel videos, online video sharing platform (Youtube), artist software. ","Variable","800+ bot generated Youtube vidz filled w/ non-sense generated by scraping and re-purposing content from low-end ""clickbait"" websites.",,"http://rtyi.coryarcangel.com",,"Related to your interests",,,,
"2020-075",,"2020-075","Related to your interests",2021,"2020-2021","Archive of bot generated single-channel MPEG-4 digital audio and video files (https://rtyi.coryarcangel.com), screening room (variable), artist software.","Variable","800+ bot generated Youtube vidz filled w/ non-sense generated by scraping and re-purposing content from low-end ""clickbait"" websites.",,"http://rtyi.coryarcangel.com",,"Related to your interests",,,,
"2020-011",,"2020-011","Disclaimer: ",2019,2019,"Single-channel screen recording of a live bot performance on Instagram, November 26, 2019.","Variable","Screen recording of an instagram bot liking every post on a single profile - conocophillips",,"https://www.youtube.com/watch?v=fM5liNoguMM",,,,,,
"2020-022",,"2020-022-when-the-squad","W♥h♥e♥n♥ ♥t♥h♥e♥ ♥s♥q♥u♥a♥d♥ ♥m♥e♥e♥t♥s♥ ♥u♥p♥ ♥/♥ ♥T♥h♥e♥ ♥K♥i♥n♥g♥ ♥C♥h♥e♥c♥k♥e♥d♥ ♥b♥y♥ ♥t♥h♥e♥ ♥Q♥u♥e♥e♥n",2020,2020,"Dual-channel screen recording of a live bot performance on Instagram, Febuary 5th, 2020.",,,,,,,,,,
"2020-008",,"2020-008-grin","🤗",2019,2019,"Single-channel screen recording of a live bot performance on Instagram, December 8, 2019.",,"Screen recording of an instagram bot liking every post on a single profile - amazon.",,,"https://www.youtube.com/watch?v=dVokXACCojw",,,,,
"2020-007",,"2020-007-server-cabinet-cooling-everything-you-need-to-know","Server Cabinet Cooling - Everything you need to know",2020,2020,"Two post server rack, 15 rack enclosure cabinet fan panels.","Variable",,,,,,,,,
"2020-006",,"2020-006-workout-2018","Workout 2018",2020,2020,"Nearly complete Web ARChive of https://soundcloud.com/ partyplaylists69/ sets/ workout-2018 captured on Jan 2, 2020, (optional) variable home computer playback apparatus. ",,"Web ARChive capture of the Soundcloud “Workout 2018” playlist: https://soundcloud.com/ partyplaylists69/ sets/ workout-2018 captured in early Jan, 2020. Soundcloud pushed this mix into my feed the entire 2019.",,"https://conifer.rhizome.org/cory_arcangel/workout-2018",,,,,,
"2020-004",,"2020-004-workutworutworout","WORKUTWORUTWOROUT",2020,2020,"IQDemy Premium UV ink on IKEA LINNMON table tops","78.75 x 94.5",,,,,,,,,
"2020-003",,"2020-003-nke","NKE",2020,2020,"IQDemy Premium UV ink on IKEA MELLTORP table tops","95 x 59",,,,,,,,,
"2019-063",,"2019-063-satin-to-slip","🅂🄰🅃🄸🄽 🅃🄾 🅂🄻🄸🄿 / 🅃🄷🄴 🄺🄸🄽🄶 🄲🄷🄴🄲🄺🄴🄳 🄱🅈 🅃🄷🄴 🅀🅄🄴🄴🄽 ",2019,2019,"Dual-channel screen recording of a live bot performance on Instagram, September, 17th, 2019.","Variable",,,,,,,,,
"2019-059",,"2019-059-cc-hampion","cC hampion",2019,2019,"IQDemy Premium UV ink on IKEA LINNMON table tops","299.72 x 149.86 x 3.81 cm",,,,,,,,,
"2019-058",,"2019-058-idas","idas",2019,2019,"IQDemy Premium UV ink on IKEA LINNMON table tops","299.72 x 299.72 x 3.81 cm",,,,,,,,,
"2019-056",,"2019-056-ulcycle","ULCYCLE",2019,2019,"IQDemy Premium UV ink on IKEA LINNMON table tops","118 x 59",,,,,,,,,
"2019-054",,"2019-054-artney-adid","artney, adid",2019,2019,"IQDemy Premium UV ink on IKEA LINNMON table tops","118 x 118 ",,,,,,,,,
"2019-050",,"2019-050-acool","acool",2019,2019,"IQDemy Premium UV ink on IKEA LINNMON table tops","118 x 88.5 ",,,,,,,,,
"2019-048",,"2019-048-creibleworkut","CREIBLEWORKUT",2019,2019,"IQDemy Premium UV ink on IKEA LINNMON table tops","118 x 59",,,,,,,,,
"2019-046",,"2019-046-scrubs","Scrubs",2019,2019,"Composition for pipe organ",,"Composition for organ - edited Toccata and Fugue in D minor, BWV 565. Written for Hampus Linwdall for Art Night London 2019.",,,,,,"Cory-Arcangel-Scrubs.pdf",,
"2019-045","Cory Arcangel & Hampus Lindwall","2019-045-they-told-me-there-would-be-tea","They told me there would be tea",2019,2019,"Audio mixtape (for NTS radio)",,"Mixtape for NTS radio (kinda wild TBH)",,"https://www.nts.live/shows/guests/episodes/cory-arcangel-hampus-lindwall-18th-june-2019",,,,,,
"2019-042",,"2019-042-vyb","VYB",2019,2019,"IQDemy Premium UV ink on IKEA LINNMON table tops","118 x 59",,,,,,,,,
"2019-037",,"2019-037-47-closer","47 Closer",2019,2019,"Oakley Men's Radar EV Path TDF Sunglasses, Green Bay Packers ONE SIZE Stretch Fit baseball hat, Panasonic LONG-RANGE KX-HN3001 Baby Monitor",,"Baby monitor, upside down Oakleys,&nbsp; surveillance, etc, etc.&nbsp;",,,,,,,,
"2019-036",,"2019-036-let","Let",2019,2019,"Illuminated Window Displays, napkins","Variable","Some napkins from the local scene placed into a backlit “to let” signage. ",,,,,,,,
"2019-033",,"2019-033-high-rise-public-saftey-pink-camo-workout-rothco-xtextile-tactical","HIGH RISE, public saftey, Pink Camo, WORKOUT, Rothco, XTEXTILE, Tactical Work, Y, ORALS BROKEN, Battle Dress, Dukes",2019,2019,"IQDemy Premium UV ink on IKEA LINNMON table tops",,"Array of Ikea tables, done 4 show at Firstsite (orignially done as separate works, but smashed together onsite as 1 thing)",,,,,,,,
"2019-027",,"2019-027-responce","Responce",2019,2019,"CYMK print on magistra deluxe blueback 125gr. paper",,,"Print for Lorenzo Sennis Presto label's 10th anniversary",,,,,,,
"2019-009",,"2019-009-til-hele","til hele",2019,2019,"IKEA GUNDE, Diamond Plate Aluminum",,"Re-made an IKEA GUNDE chair using Diamond Plate Aluminum - metal sheets which have a raised repeating texture.&nbsp;",,,,,,,,
"2019-005",,"2019-005-dunk","Dunk",2019,2019,"Laser Animation ","Variable",,,,,,,,"Sharjah Art Foundation",
"2018-134",,"2018-134-nyartist","NYARTIST",2018,2018,"Algorithmic score for pipe organ. ",,"Algo pipe organ piece which was made to be recorded &amp; inserted into the gym mix at the Sharjah Radisson 4 the Sharjah Biennial 14. ",,"http://nyartist.coryarcangel.com",,,,,,"[4496] [2020-035-nyartist] 2020-035 NYARTIST"
"2018-125",,"2018-125-destroyed-jeans","Destroyed Jeans",2019,2019,"Vinyl prints onto 8 hanging banners","650 x 250 cm","Went big 4 this! ",,,,,,,"Sharjah Art Foundation",
"2018-124",,"2018-124-the-original","The Original",2018,2018,"Ping Men's Tour Structured Men's Hat, Plastic Mannequin Head, Oakley Men's OO9154 Half Jacket XL 2.0 Golf Sunglasses, Video Baby Monitor","Variable",,,,,,,,,
"2018-121",,"2018-121-untitled","Untitled",2018,2018,"Triple Espresso, Acid Free Vellum Finish Archival Paper","12.25 x 12.25 in",,,,,,,,,
"2018-118",,"2018-118-untitled","Untitled",2018,2018,"Triple Espresso, Acid Free Vellum Finish Archival Paper","12.25 x 12.25 in",,,,,,,,,
"2018-116",,"2018-116-untitled","Untitled",2018,2018,"Triple Espresso, Acid Free Vellum Finish Archival Paper","12.25 x 12.25 in",,,,,,,,,
"2018-104",,"2018-104-untitled","Untitled",2018,2018,"Raspberry on Somerset paper","11 x 7.5 in",,,,,,,,,
"2018-098",,"2018-098-untitled","Untitled",2018,2018,"Blueberry, Rasberry on Somerset paper","11 x 7.5 in",,,,,,,,,
"2018-084",,"2018-084-fil","FIL",2018,2018,"IQDemy Premium UV ink on​ ​IKEA LINNMON​ table tops","118 x 29.5 in",,,,,,,,,
"2018-084",,"2018-084-dunk","Dunk",2019,2018,"Laser Animation ","Dimensions variable",,,,,,,,,
"2018-072",,"2018-072-ivyrk","IVYRK",2018,2018,"IQDemy Premium UV ink on​ ​IKEA LINNMON​ table tops","118 x 29.5",,,,,,,,,
"2018-072",,"2018-072-dukes","Dukes",2018,2018,"IQDemy Premium UV ink on​ ​IKEA LINNMON​ table tops","118 x 29.5",,,,,,,,,
"2018-063",,"2018-063-the-north-face","The North Face",2018,2018,"Essay",,"​Short read about my new Scandi life ... also a bit about Apple and Swedish House Mafia. I know, I know, sounds random, but I swear it makes sense! ",,"https://www.are.na/blog/the-north-face",,,,,,
"2018-052",,"2018-052-multi-function-scarf","Multi-function scarf",2018,2018,"International Association for Research and Testing in the Field of Textile and Leather Ecology certified cotton scarf","Variable",,,,,,,,,
"2018-045",,"2018-045-i-grind","I GRIND",2018,2018,"Laserjet on 711 take-out bag","33 x 20 cm",,,,,,,,,
"2018-042",,"2018-042-of-love","of love",2018,2018,"Laserjet on 711 take-out bag","33 x 20 cm",,,,,,,,,
"2018-037",,"2018-037-entrepreneur1","en·tre·pre·neur",2018,2018,"Web search archived as .warc w/ web recorder.",,"Using google 2 remem how to spell en·tre·pre·neur",,"https://conifer.rhizome.org/cory_arcangel/enterpnurer",,,,,,
"2018-035",,"2018-035-all-the-birds","All the birds",2018,2018,"Pipe organ composition",,,,,,,,"Alle-Fugler.pdf",,
"2018-029",,"2018-029-photoshop-cs","Photoshop CS: 84 by 240 inches, 300 DPI, RGB, square pixels, default gradient “Spectrum”, mousedown y=25130 x=35700, mouseup y=0 x= 35700; tool ""Wand"", select y=1420 x=4237, tolerance=80, contiguous= off; default gradient ""Spectrum"", mousedown y=1230 x=0, mouseup y=1230 x=71710",2018,2018,"Chromogenic print","84 x 240 inches",,,,,,,,,
"2018-021",,"2018-021-peace-old-navy","Peace Old Navy",2018,2018,"Inkjet on canvas (x3)","108 x 36 in",,,,,,,,,
"2018-018",,"2018-018-boyfriend","Boyfriend",2018,2018,"Inkjet on canvas (x3)","108 x 36 in",,,,,,,,,
"2018-017",,"2018-017-fierce","FIERCE",2018,2018,"Inkjet on canvas (x3)","108 x 36 in",,,,,,,,,
"2018-016",,"2018-016-dukes","Dukes",2018,2018,"Inkjet on canvas (x3)","108 x 36 in",,,,,,,,,
"2018-015",,"2018-015-dukes","Dukes",2018,2018,"Inkjet on canvas (x3)","108 x 36 in",,,,,,,,,
"2018-014",,"2018-014-three-stripes","Three Stripes",2018,2018,"Inkjet on canvas (x3)","108 x 36 in",,,,,,,,,
"2018-013",,"2018-013-three-stripes","Three Stripes",2018,2018,"Inkjet on canvas (x3)","108 x 36 in",,,,,,,,,
"2018-010",,"2018-010-water","Water",2018,2018,"Digitally knitted carpet","433.07 x 275.5 in",,,,,,,,,
"2018-006",,"2018-006-cats","Cats",2018,2018,"Pen on paper (produced by Mutoh XP-300)","14 x 11 in","​Stamp - cats","Edition 4 EAI. ","http://eai.org",,,,,,
"2017-074",,"2017-074-beibs-lakes","Beibs / Lakes",2017,2017,"1920x1080 H.264/MPEG-4 Part 10 looped digital file (from 11 lossless TIFS), media player, 65–75” flatscreen, armature, various cables",,,,,,,,,,
"2017-071",,"2017-071-yoga-lakes","Yoga / Lakes",2017,2017,"1920x1080 H.264/MPEG-4 Part 10 looped digital file (from 11 lossless TIFS), media player, 65–75” flatscreen, armature, various cables",,,,,,,,,,
"2017-069",,"2017-069-football-lakes","Football / Lakes",2017,2017,"1920x1080 H.264/MPEG-4 Part 10 looped digital file (from 11 lossless TIFS), media player, 65–75” flatscreen, armature, various cables",,,,,,,,,,
"2017-062",,"2017-062-arcangel-surfware-flagship","Arcangel Surfware Flagship",2018,2018,"Flagship store","32 sq meters","Flagship store. Ran 4 2 years in my home of Stavanger, Norway(!!!!). Thx 2 all who stopped by.",,,,,,,,
"2017-060",,"2017-060-photoshop-cs-84by-144-inches-300-dpi-rgb-square-pixels-default-gra","Photoshop CS: 84by 144 inches, 300 DPI, RGB, square pixels, default gradient “Spectrum”, mousedown y=24433 x=24933, mouseup y=13681 x=24933; tool ""Wand"", select y=9500 x=23366, tolerance=94, contiguous= off; default gradient ""Spectrum"", mousedown y=9500 x=4425, mouseup y=9500 x=38534 ",2017,2017,"Chromogenic print","84 x 144 in",,,,,,,,,
"2017-059",,"2017-059-designed-by-apple-in-california-assembled-in-china-model-a1457","Designed by Apple in California Assembled in China Model A1457",2017,2017,"Embossed arches paper. ",,"Ran an iphone through a printing press, LOL.&nbsp;",,,,,,,,
"2017-049",,"2017-049-3-celebs-who-treat-their-fans-like-trash","3 Celebs Who Treat Their Fans Like Trash (SRF-047)",2017,2017,"Fidigit spinner",,,,,,,,,,
"2017-044",,"2017-044-on-this-day","Tony Conrad: Music and the Mind of the World: On This Day (SRF-044)",2017,2017,"Twitter bot",,"Bot so u can follow Tony Conrads Music and the Mind of the World 40 yrs l8r on the daily uptake ....",,"https://twitter.com/on_this_day_mmw",,,,,,"[4411] [2015-095-music-and-the-mind-of-the-world] 2015-095 Music and the Mind of the World"
"2017-042",,"2017-042-photoshop-cs","Photoshop CS: 84 by 144 inches, 300 DPI, RGB, square pixels, default gradient ""Spectrum"", mousedown y=12100, x=26340, mouseup y=12100, x=42000; tool ""Wand"", select y= 12100,  x=20000, tolerance=94, contiguous=on; default gradient ""Spectrum"", mousedown y=24300, x=16320, mouseup y=0, x=16320",2017,2017,"Chromogenic print","84 x 144 in",,,,,,,,,
"2017-041","Olia Lialina","2017-041-asymmetrical-response-reader-ibiza","Asymmetrical Response Reader: Ibiza (SRF-041)",2017,2017,"Tape-bound book, 45 pages.","11 x 8.5",,,,,,,,,"[4380] [2017-004-asymmetrical-response-reader-srf-039] 2017-004 Asymmetrical Response Reader: The Kitchen (SRF-039)"
"2017-039",,"2017-039-soulcycle","Soulcycle",2017,2017,"Inkjet on canvas (x3)","108 x 36 in",,,,,,,,,
"2017-037",,"2017-037-three-stripes","Three stripes",2017,2017,"Inkjet on canvas (x3)","108 x 36 in",,,,,,,,,
